name,date,open,high,low,close,price,market_cap,total_volume
Bitcoin,04/02/2018,6975.28,7080.42,6836.57,7080.42,543.6674999999999,7142146355.812499,36644669.931792624
Bitcoin,04/06/2018,7464.36,7464.36,6628.75,6628.75,503.7087999999998,6619438824.319998,46265624.62553175
Bitcoin,04/10/2018,6884.48,6984.81,6778.49,6829.32,492.2844982828295,6470895123.240938,31123413.362281278
Bitcoin,04/14/2018,6925.1,7897.72,6925.1,7897.72,521.0463000000001,6851511348.007502,27941383.427219495
Bitcoin,04/18/2018,8258.07,8258.07,7873.64,8097.42,494.7813,6508254263.94,28596111.80240412
Bitcoin,04/22/2018,8277.46,8878.43,8277.46,8769.01,459.8863000000001,6051494358.652501,60758484.534893334
Bitcoin,04/26/2018,8881.39,9716.49,8825.2,9221.87,484.1549999999999,6373125926.999999,45173284.02810885
Bitcoin,04/29/2018,8940.38,9325.63,8940.38,9325.63,514.1863000000001,6770599523.880001,55122051.107402146
Bitcoin,05/02/2018,9198.19,9198.19,9024.39,9122.65,515.605,6791368598.25,47111104.07847081
Bitcoin,05/06/2018,9551.14,9766.24,9551.14,9583.87,515.8263000000001,6796320998.280002,34159957.60252427
Bitcoin,05/10/2018,9308.27,9308.27,8969.94,8969.94,496.5688000000001,6544627813.360002,23986341.558129977
Bitcoin,05/14/2018,8405.56,8696.97,8405.56,8696.97,508.1138,6698642065.23,18509793.266628254
Bitcoin,05/18/2018,8473.35,8473.35,8056.05,8202.83,500.3863,6598469041.525,15737842.720394537
Bitcoin,05/22/2018,8180.63,8443.26,8009.3,8009.3,510.6387999999999,6735887474.679998,21288943.923400816
Bitcoin,05/26/2018,7556.32,7563.44,7328.87,7328.87,510.4463,6735479301.2325,21505988.92038193
Bitcoin,05/30/2018,7326.64,7451.23,7111.07,7380.85,506.9150000000001,6691049888.250001,18467248.48861226
Bitcoin,06/02/2018,7460.17,7567.51,7460.17,7567.51,508.0963,6708840033.1625,16001723.62834569
Bitcoin,06/06/2018,7639.88,7639.88,7463.65,7605.58,501.5300000000001,6624308546.000001,10747408.658269238
Bitcoin,06/10/2018,7613.78,7613.78,6767.5,6767.5,480.0262999999999,6342575501.242498,43358429.758384064
Bitcoin,06/14/2018,6880.13,6880.13,6334.1,6644.72,475.8200000000002,6288710716.500003,19343751.807486504
Bitcoin,06/18/2018,6406.81,6677.53,6406.81,6677.53,474.6938,6275487638.035,21083352.224831242
Bitcoin,06/22/2018,6708.68,6714.38,6088.58,6088.58,474.7263000000001,6277994218.035002,14233663.71176932
Bitcoin,06/26/2018,6169.44,6241.85,6069.87,6069.87,489.5475000000001,6475917910.312501,23597497.056552686
Bitcoin,06/29/2018,6117.04,6182.26,5879.99,6182.26,480.2425000000001,6354592772.125001,14058803.04997312
Bitcoin,07/02/2018,6366.5,6595.55,6312.88,6595.55,482.3588,6384706079.29,9776900.705157386
Bitcoin,07/06/2018,6497.61,6603.29,6497.61,6603.29,480.6025,6363333295.8125,7748654.382831849
Bitcoin,07/10/2018,6759.84,6759.84,6303.38,6303.38,471.1250000000001,6239603056.250001,27618107.417669404
Bitcoin,07/14/2018,6373.23,6373.23,6230.59,6246.14,471.7538,6249605640.88,20218609.30319999
Bitcoin,07/18/2018,6349.7,7334.77,6349.7,7334.77,477.1138,6322521232.08,20792329.424092777
Bitcoin,07/22/2018,7442.8,7442.8,7331.87,7395.87,476.3775000000001,6314752955.062501,14579193.13186878
Bitcoin,07/26/2018,7705.0,8422.37,7705.0,7929.08,473.6874999999999,6280918617.187499,13395857.32409978
Bitcoin,07/30/2018,8145.33,8197.59,8145.33,8185.92,476.0013,6313764543.4275,14007703.004896387
Bitcoin,08/02/2018,7738.25,7738.25,7540.63,7540.63,474.795,6299010306.0,11468703.326540692
Bitcoin,08/06/2018,7411.67,7411.67,6926.12,6926.12,473.0313,6278083239.3825,12723496.884358438
Bitcoin,08/10/2018,6711.73,6711.73,6166.59,6166.59,462.5925,6141505242.9375,16956832.82370955
Bitcoin,08/14/2018,6205.22,6318.41,6205.22,6212.23,454.6238000000001,6037835956.610002,23179362.991400693
Bitcoin,08/18/2018,6267.77,6566.72,6267.77,6382.06,423.565,5627251629.25,48338347.98438927
Bitcoin,08/22/2018,6475.49,6475.49,6242.88,6336.66,393.2624999999999,5226301319.999999,47766762.1622319
Bitcoin,08/26/2018,6521.07,6736.04,6521.07,6728.29,408.5025,5430693510.375,47847915.31720254
Bitcoin,08/30/2018,6911.1,7075.98,6911.1,7024.15,396.62,5274312253.0,32843840.15919743
Bitcoin,09/02/2018,7027.63,7305.27,7027.63,7305.27,398.3113000000001,5298466363.772501,24225299.2144736
Bitcoin,09/06/2018,7260.9,7359.46,6498.28,6498.28,433.7512999999999,5771559860.494999,57448184.246617585
Bitcoin,09/10/2018,6397.82,6397.82,6181.19,6308.14,420.92,5602424154.0,32689372.436466075
Bitcoin,09/14/2018,6278.92,6500.01,6278.92,6500.01,407.9775,5431965426.5625,30733509.96720748
Bitcoin,09/18/2018,6530.22,6530.22,6250.12,6347.07,402.88,5365475264.0,23707503.068168852
Bitcoin,09/22/2018,6383.75,6753.83,6383.75,6747.03,398.0074999999999,5301867857.687499,16698720.05207724
Bitcoin,09/26/2018,6711.03,6711.03,6441.31,6462.8,375.9887999999999,5009825166.719998,29504744.82791448
Bitcoin,09/29/2018,6704.7,6704.7,6606.07,6606.07,373.0888,4972406272.54,37668363.03976922
Bitcoin,10/02/2018,6626.04,6626.04,6524.61,6524.61,387.3512999999999,5164012591.079999,34519038.81008948
Bitcoin,10/06/2018,6499.26,6621.19,6499.26,6589.12,380.8949999999999,5079406227.749999,26019381.155069035
Bitcoin,10/10/2018,6584.83,6653.09,6582.46,6582.46,371.8413,4959944620.5375,19867284.508463353
Bitcoin,10/14/2018,6234.37,6328.55,6234.37,6328.55,356.1899999999999,4752500693.999999,29080111.339532
Bitcoin,10/18/2018,6659.88,6659.88,6517.51,6517.51,327.8813,4376051376.385,44971218.61630971
Bitcoin,10/22/2018,6483.83,6532.68,6483.83,6512.59,325.1099999999999,4340421693.749999,81809696.99023308
Bitcoin,10/26/2018,6472.8,6481.44,6458.19,6468.83,328.73,4390074094.5,75997580.13997829
Bitcoin,10/30/2018,6457.06,6481.32,6292.65,6331.78,331.7238,4431199692.78,43924704.45993865
Bitcoin,11/02/2018,6366.72,6425.44,6366.72,6425.44,353.3901000000001,4721892499.170001,50777426.825353265
Bitcoin,11/06/2018,6388.19,6474.85,6351.06,6474.85,358.395,4790047733.625,80036548.33990295
Bitcoin,11/10/2018,6574.8,6574.8,6413.78,6429.9,357.5549999999999,4780224305.999999,42046080.75021416
Bitcoin,11/14/2018,6434.28,6434.28,5788.61,5788.61,359.515,4807704216.25,32266988.405666195
Bitcoin,11/18/2018,5686.54,5686.54,5599.19,5638.86,374.1675000000001,5005060917.937501,30739066.019255087
Bitcoin,11/22/2018,4889.2,4889.2,4307.39,4307.39,387.0387999999999,5178714607.579999,55435747.92234496
Bitcoin,11/26/2018,4376.9,4376.9,3811.92,3811.92,398.2888,5330587769.78,71417120.06933361
Bitcoin,11/29/2018,3832.92,4279.48,3832.92,4279.48,392.1900000000001,5250404406.000001,49257724.14281866
Bitcoin,12/02/2018,4009.69,4189.57,4009.69,4124.59,379.3912999999999,5080504776.5599985,48941848.6690588
Bitcoin,12/06/2018,3878.84,3943.69,3466.76,3466.76,380.2925,5093875427.8125,38063635.90178972
Bitcoin,12/10/2018,3408.52,3550.55,3408.52,3433.81,389.1163,5213672024.625,43799624.062763646
Bitcoin,12/14/2018,3378.81,3438.1,3216.63,3216.63,386.945,5185875584.5,32870166.09728563
Bitcoin,12/18/2018,3221.98,3655.78,3217.05,3655.78,379.7699999999999,5090987746.499999,32186402.177928016
Bitcoin,12/22/2018,3687.75,4065.1,3687.75,3960.57,382.4137999999999,5127920489.029999,33195457.629108418
Bitcoin,12/26/2018,3941.62,4021.99,3759.18,3781.61,379.4425000000001,5089595057.375001,22279085.760041673
Bitcoin,12/30/2018,3587.7,3854.42,3587.7,3809.73,356.2000000000001,4779135400.000001,48354309.486003265
Bitcoin,01/02/2019,3692.53,3872.17,3692.53,3872.17,354.3175000000001,4755312883.375001,32650701.35283577
Bitcoin,01/06/2019,3776.53,4013.52,3776.53,4013.52,347.0304940564094,4658797625.083782,35098508.122770295
Bitcoin,01/10/2019,3989.67,3989.67,3623.85,3623.85,350.1888000000001,4702361470.560001,27618300.827371847
Bitcoin,01/14/2019,3632.85,3648.05,3495.83,3648.05,348.29,4678274816.25,40322147.37977852
Bitcoin,01/18/2019,3567.8,3620.98,3567.8,3597.79,351.5638000000001,4723453013.090001,26517269.319478102
